"","n","a","b","t"
"206",1500,8,20,1.32918405532837
"207",1500,8,25,42.097403049469
"208",1500,8,25,37.2566070556641
"209",1500,8,22,4.91976809501648
"210",1500,8,24,16.5479819774628
"211",1500,8,23,8.2784640789032
"212",1500,8,26,1.06833709875743
"213",1500,8,28,4.14462819894155
"214",1500,8,23,8.07747507095337
"215",1500,8,26,1.07605731487274
"216",1500,8,22,4.72820091247559
"217",1500,8,27,2.0929131825765
"218",1500,8,25,31.5449850559235
"219",1500,8,25,31.1081960201263
"220",1500,8,14,0.310324907302856
"221",1500,8,24,16.0012009143829
"222",1500,8,25,31.3263618946075
"223",1500,8,23,8.27055692672729
"224",1500,8,14,0.306313037872314
"225",1500,8,14,0.305855989456177
"226",1500,8,14,0.306333780288696
"227",1500,8,14,0.304304122924805
"228",1500,8,14,0.304857969284058
"229",1500,8,27,2.26819983323415
"230",1500,8,28,4.31819171508153
"231",1500,8,27,2.08460450172424
"232",1500,8,27,2.1620713353157
"233",1500,8,14,0.344374895095825
"234",1500,8,25,36.558954000473
"235",1500,8,20,1.3306097984314
"236",1500,8,14,0.321428060531616
"237",1500,8,21,2.68550395965576
"238",1500,8,24,17.5844058990479
"239",1500,8,23,16.3863279819489
"240",1500,8,20,1.31309700012207
"241",1500,8,26,1.37656838099162
"242",1500,8,27,2.12452193101247
"243",1500,8,21,2.2410089969635
"244",1500,8,28,4.16003766854604
"245",1500,8,20,1.42343592643738
"246",1500,8,26,1.12872743209203
"247",1500,8,28,4.26977501710256
"248",1500,8,24,15.9805130958557
"249",1500,8,20,1.32963705062866
"250",1500,8,24,16.0083568096161
"251",1500,8,22,4.31551909446716
"252",1500,8,24,15.7399430274963
"253",1500,8,23,7.90686202049255
"254",1500,8,27,2.08393071492513
"255",1500,8,22,5.59000492095947
"256",1500,8,24,16.2950990200043
"257",1500,8,17,0.458741903305054
"258",1500,8,27,2.13417380253474
"259",1500,8,21,2.44457912445068
"260",1500,8,22,4.29213809967041
"261",1500,8,25,31.4734170436859
"262",1500,8,24,15.8532998561859
"263",1500,8,14,0.316842079162598
"264",1500,8,27,2.09322343269984
"265",1500,8,22,4.3061728477478
"266",1500,8,27,2.16383838653564
"267",1500,8,26,1.06907218297323
"268",1500,8,27,2.16104391415914
"269",1500,8,27,2.23360060056051
"270",1500,8,14,0.315032005310059
"271",1500,8,26,1.06754551728566
"272",1500,8,26,1.19904873371124
"273",1500,8,17,0.427642822265625
"274",1500,8,26,1.09792691866557
"275",1500,8,28,4.4966709335645
"276",1500,8,23,8.70636701583862
"277",1500,8,22,4.48693418502808
"278",1500,8,23,8.56385898590088
"279",1500,8,23,11.0434777736664
"280",1500,8,25,37.2980289459229
"281",1500,8,23,9.60456299781799
"282",1500,8,17,0.521493196487427
"283",1500,8,27,2.15373143355052
"284",1500,8,27,2.14017099936803
"285",1500,8,20,1.28250217437744
"286",1500,8,28,4.15833526849747
"287",1500,8,14,0.315860986709595
"288",1500,8,22,4.35379695892334
"289",1500,8,25,32.1977000236511
"290",1500,8,21,2.37189292907715
"291",1500,8,24,15.9733419418335
"292",1500,8,21,2.34143614768982
"293",1500,8,21,2.42770791053772
"294",1500,8,14,0.319349765777588
"295",1500,8,28,4.20088531573613
"296",1500,8,26,1.04973061879476
"297",1500,8,26,1.1213055173556
"298",1500,8,27,2.43899898529053
"299",1500,8,17,0.454365968704224
"300",1500,8,17,0.437747955322266
